year,global_avg_temp,city_avg_temp,10-yrs MA global avg temp,10-yrs MA city avg temp,Avg difference,,,,,,,
1750,8.72,10.07,,,1.35,,,,,,,
1751,7.98,10.79,,,2.81,,,,,,,
1752,5.78,2.81,,,-2.97,,,,,,,
1753,8.39,9.52,,,1.13,,,,,,,
1754,8.47,9.88,,,1.41,,,,,,,
1755,8.36,6.61,,,-1.75,,,,,,,
1756,8.85,9.94,,,1.09,,,,,,,
1757,9.02,8.89,,,-0.13,,,,,,,
1758,6.74,8.15,,,1.41,,,,,,,
1759,7.99,9.01,8.03,8.57,1.02,,,,,,,
1760,7.19,7.73,7.88,8.33,0.54,,,,,,,
1761,8.77,10.18,7.96,8.27,1.41,,,,,,,
1762,8.61,9.55,8.24,8.95,0.94,,,,,,,
1763,7.5,7.23,8.15,8.72,-0.27,,,,,,,
1764,8.4,9.55,8.14,8.68,1.15,,,,,,,
1765,8.25,8.96,8.13,8.92,0.71,,,,,,,
1766,8.41,10.09,8.09,8.93,1.68,,,,,,,
1767,8.22,8.52,8.01,8.90,0.30,,,,,,,
1768,6.78,8.67,8.01,8.95,1.89,,,,,,,
1769,7.69,9.1,7.98,8.96,1.41,,,,,,,
1770,7.69,9.04,8.03,9.09,1.35,,,,,,,
1771,7.85,10.18,7.94,9.09,2.33,,,,,,,
1772,8.19,9.64,7.90,9.10,1.45,,,,,,,
1773,8.22,10.08,7.97,9.38,1.86,,,,,,,
1774,8.77,9.52,8.01,9.38,0.75,,,,,,,
1775,9.18,10.24,8.10,9.51,1.06,1.02,,,,,,
1776,8.3,9.13,8.09,9.41,0.83,,,,,,,
1777,8.26,8.77,8.09,9.44,0.51,,,,,,,
1778,8.54,6.89,8.27,9.26,-1.65,,,,,,,
1779,8.98,0.25,8.40,8.37,-8.73,,,,,,,
1780,9.43,,8.57,8.30,-9.43,,,,,,,
1781,8.1,9.79,8.60,8.26,1.69,,,,,,,
1782,7.9,9.15,8.57,8.20,1.25,,,,,,,
1783,7.68,8.81,8.51,8.06,1.13,,,,,,,
1784,7.86,8.4,8.42,7.94,0.54,,,,,,,
1785,7.36,8.49,8.24,7.74,1.13,,,,,,,
1786,8.26,8.98,8.24,7.73,0.72,,,,,,,
1787,8.03,8.97,8.21,7.75,0.94,,,,,,,
1788,8.45,9.77,8.21,8.07,1.32,,,,,,,
1789,8.33,9.42,8.14,9.09,1.09,,,,,,,
1790,7.98,9.39,8.00,9.12,1.41,,,,,,,
1791,8.23,9.37,8.01,9.08,1.14,,,,,,,
1792,8.09,8.72,8.03,9.03,0.63,,,,,,,
1793,8.23,9.88,8.08,9.14,1.65,,,,,,,
1794,8.53,9.83,8.15,9.28,1.30,,,,,,,
1795,8.35,9.21,8.25,9.35,0.86,,,,,,,
1796,8.27,8.97,8.25,9.35,0.70,,,,,,,
1797,8.51,8.85,8.30,9.34,0.34,,,,,,,
1798,8.67,9.71,8.32,9.34,1.04,,,,,,,
1799,8.51,9.19,8.34,9.31,0.68,,,,,,,
1800,8.48,9.58,8.39,9.33,1.10,,,,,,,
1801,8.59,10,8.42,9.39,1.41,,,,,,,
1802,8.58,10.29,8.47,9.55,1.71,,,,,,1750 - 1780,1781 - 2013
1803,8.5,10.07,8.50,9.57,1.57,0.19,Variance of 10-yrs MA of Global Avg Temp ,,,,0.03,0.20
1804,8.84,9.69,8.53,9.56,0.85,0.37,Variance of 10-yrs MA of NY Avg Temp ,,,,0.15,0.36
1805,8.56,10.43,8.55,9.68,1.87,0.79,Correlation,,,,-0.27,1.00
1806,8.43,9.38,8.57,9.72,0.95,,,,,,,
1807,8.28,9.17,8.54,9.75,0.89,,,,,,,
1808,7.63,9.57,8.44,9.74,1.94,,,,,,,
1809,7.08,8.87,8.30,9.71,1.79,,,,,,,
1810,6.92,9.35,8.14,9.68,2.43,,,,,,,
1811,6.86,9.43,7.97,9.63,2.57,,,,,,,
1812,7.05,7.8,7.82,9.38,0.75,,,,,,,
1813,7.74,8.93,7.74,9.26,1.19,,,,,,,
1814,7.59,8.7,7.61,9.16,1.11,,,,,,,
1815,7.24,8.27,7.48,8.95,1.03,,,,,,,
1816,6.94,7.92,7.33,8.80,0.98,,,,,,,
1817,6.98,7.78,7.20,8.66,0.80,,,,,,,
1818,7.83,8.13,7.22,8.52,0.30,,,,,,,
1819,7.37,9.07,7.25,8.54,1.70,,,,,,,
1820,7.62,8.98,7.32,8.50,1.36,,,,,,,
1821,8.09,8.53,7.45,8.41,0.44,,,,,,,
1822,8.19,9.84,7.56,8.62,1.65,,,,,,,
1823,7.72,8.64,7.56,8.59,0.92,,,,,,,
1824,8.55,9.29,7.65,8.65,0.74,,,,,,,
1825,8.39,10.21,7.77,8.84,1.82,,,,,,,
1826,8.36,9.92,7.91,9.04,1.56,,,,,,,
1827,8.81,9.26,8.09,9.19,0.45,,,,,,,
1828,8.17,10.7,8.13,9.44,2.53,,,,,,,
1829,7.94,9.17,8.18,9.45,1.23,,,,,,,
1830,8.52,10.32,8.27,9.59,1.80,,,,,,,
1831,7.64,9.07,8.23,9.64,1.43,,,,,,,
1832,7.45,9.15,8.16,9.57,1.70,,,,,,,
1833,8.01,9.15,8.18,9.62,1.14,,,,,,,
1834,8.15,9.32,8.14,9.63,1.17,,,,,,,
1835,7.39,8.48,8.04,9.45,1.09,,,,,,,
1836,7.7,7.51,7.98,9.21,-0.19,,,,,,,
1837,7.38,8.12,7.84,9.10,0.74,,,,,,,
1838,7.51,8.73,7.77,8.90,1.22,,,,,,,
1839,7.63,9.17,7.74,8.90,1.54,,,,,,,
1840,7.8,9.27,7.67,8.80,1.47,,,,,,,
1841,7.69,9,7.67,8.79,1.31,,,,,,,
1842,8.02,9.41,7.73,8.82,1.39,,,,,,,
1843,8.17,8.49,7.74,8.75,0.32,,,,,,,
1844,7.65,9.12,7.69,8.73,1.47,,,,,,,
1845,7.85,9.49,7.74,8.83,1.64,,,,,,,
1846,8.55,9.66,7.83,9.05,1.11,,,,,,,
1847,8.09,9.3,7.90,9.16,1.21,,,,,,,
1848,7.98,9.54,7.94,9.25,1.56,,,,,,,
1849,7.98,8.83,7.98,9.21,0.85,,,,,,,
1850,7.9,9.1,7.99,9.19,1.20,,,,,,,
1851,8.18,9.26,8.04,9.22,1.08,,,,,,,
1852,8.1,8.98,8.05,9.18,0.88,,,,,,,
1853,8.04,9.68,8.03,9.30,1.64,,,,,,,
1854,8.21,9.56,8.09,9.34,1.35,,,,,,,
1855,8.11,9.11,8.11,9.30,1.00,,,,,,,
1856,8,8.2,8.06,9.16,0.20,,,,,,,
1857,7.76,8.52,8.03,9.08,0.76,,,,,,,
1858,8.1,9.13,8.04,9.04,1.03,,,,,,,
1859,8.25,9.17,8.07,9.07,0.92,,,,,,,
1860,7.96,9.18,8.07,9.08,1.22,,,,,,,
1861,7.85,9.47,8.04,9.10,1.62,,,,,,,
1862,7.56,9,7.98,9.10,1.44,,,,,,,
1863,8.11,9.09,7.99,9.04,0.98,,,,,,,
1864,7.98,9.29,7.97,9.02,1.31,,,,,,,
1865,8.18,9.64,7.98,9.07,1.46,,,,,,,
1866,8.29,8.95,8.00,9.14,0.66,,,,,,,
1867,8.44,8.59,8.07,9.15,0.15,,,,,,,
1868,8.25,7.95,8.09,9.03,-0.30,,,,,,,
1869,8.43,8.85,8.11,9.00,0.42,,,,,,,
1870,8.2,10.04,8.13,9.09,1.84,,,,,,,
1871,8.12,8.94,8.16,9.03,0.82,,,,,,,
1872,8.19,8.61,8.22,9.00,0.42,,,,,,,
1873,8.35,8.44,8.24,8.93,0.09,,,,,,,
1874,8.43,9.06,8.29,8.91,0.63,,,,,,,
1875,7.86,7.74,8.26,8.72,-0.12,,,,,,,
1876,8.08,9.35,8.24,8.76,1.27,,,,,,,
1877,8.54,10.15,8.25,8.91,1.61,,,,,,,
1878,8.83,10.38,8.30,9.16,1.55,,,,,,,
1879,8.17,9.37,8.28,9.21,1.20,,,,,,,
1880,8.12,9.99,8.27,9.20,1.87,,,,,,,
1881,8.27,9.77,8.28,9.29,1.50,,,,,,,
1882,8.13,9.22,8.28,9.35,1.09,,,,,,,
1883,7.98,8.59,8.24,9.36,0.61,,,,,,,
1884,7.77,9.36,8.18,9.39,1.59,,,,,,,
1885,7.92,8.37,8.18,9.46,0.45,,,,,,,
1886,7.95,8.9,8.17,9.41,0.95,,,,,,,
1887,7.91,9.1,8.11,9.31,1.19,,,,,,,
1888,8.09,8.31,8.03,9.10,0.22,,,,,,,
1889,8.32,9.86,8.05,9.15,1.54,,,,,,,
1890,7.97,9.62,8.03,9.11,1.65,,,,,,,
1891,8.02,10,8.01,9.13,1.98,,,,,,,
1892,8.07,9.15,8.00,9.13,1.08,,,,,,,
1893,8.06,8.68,8.01,9.14,0.62,,,,,,,
1894,8.16,9.95,8.05,9.19,1.79,,,,,,,
1895,8.15,9.22,8.07,9.28,1.07,,,,,,,
1896,8.21,9.51,8.10,9.34,1.30,,,,,,,
1897,8.29,9.63,8.13,9.39,1.34,,,,,,,
1898,8.18,10.24,8.14,9.59,2.06,,,,,,,
1899,8.4,9.51,8.15,9.55,1.11,,,,,,,
1900,8.5,10.4,8.20,9.63,1.90,,,,,,,
1901,8.54,9.29,8.26,9.56,0.75,,,,,,,
1902,8.3,9.43,8.28,9.59,1.13,,,,,,,
1903,8.22,9.32,8.30,9.65,1.10,,,,,,,
1904,8.09,7.87,8.29,9.44,-0.22,,,,,,,
1905,8.23,9.1,8.30,9.43,0.87,,,,,,,
1906,8.38,9.9,8.31,9.47,1.52,,,,,,,
1907,7.95,8.49,8.28,9.36,0.54,,,,,,,
1908,8.19,9.87,8.28,9.32,1.68,,,,,,,
1909,8.18,9.51,8.26,9.32,1.33,,,,,,,
1910,8.22,9.55,8.23,9.23,1.33,,,,,,,
1911,8.18,9.91,8.19,9.30,1.73,,,,,,,
1912,8.17,9.24,8.18,9.28,1.07,,,,,,,
1913,8.3,10.76,8.19,9.42,2.46,,,,,,,
1914,8.59,9.02,8.24,9.54,0.43,,,,,,,
1915,8.59,9.85,8.28,9.61,1.26,,,,,,,
1916,8.23,9.1,8.26,9.53,0.87,,,,,,,
1917,8.02,8.24,8.27,9.51,0.22,,,,,,,
1918,8.13,9.51,8.26,9.47,1.38,,,,,,,
1919,8.38,10.05,8.28,9.52,1.67,,,,,,,
1920,8.36,9.19,8.30,9.49,0.83,,,,,,,
1921,8.57,10.91,8.33,9.59,2.34,,,,,,,
1922,8.41,10.04,8.36,9.67,1.63,,,,,,,
1923,8.42,9.51,8.37,9.54,1.09,,,,,,,
1924,8.51,8.85,8.36,9.53,0.34,,,,,,,
1925,8.53,9.72,8.36,9.51,1.19,,,,,,,
1926,8.73,8.54,8.41,9.46,-0.19,,,,,,,
1927,8.52,9.7,8.46,9.60,1.18,,,,,,,
1928,8.63,9.82,8.51,9.63,1.19,,,,,,,
1929,8.24,9.97,8.49,9.63,1.73,,,,,,,
1930,8.63,10.22,8.52,9.73,1.59,,,,,,,
1931,8.72,11.03,8.53,9.74,2.31,,,,,,,
1932,8.71,10.44,8.56,9.78,1.73,,,,,,,
1933,8.34,10.18,8.56,9.85,1.84,,,,,,,
1934,8.63,9.48,8.57,9.91,0.85,,,,,,,
1935,8.52,9.48,8.57,9.89,0.96,,,,,,,
1936,8.55,9.73,8.55,10.01,1.18,,,,,,,
1937,8.7,10.16,8.57,10.05,1.46,,,,,,,
1938,8.86,10.42,8.59,10.11,1.56,,,,,,,
1939,8.76,10.07,8.64,10.12,1.31,,,,,,,
1940,8.76,8.53,8.66,9.95,-0.23,,,,,,,
1941,8.77,10.19,8.66,9.87,1.42,,,,,,,
1942,8.73,9.96,8.66,9.82,1.23,,,,,,,
1943,8.76,9.58,8.70,9.76,0.82,,,,,,,
1944,8.85,10.01,8.73,9.81,1.16,,,,,,,
1945,8.58,9.94,8.73,9.86,1.36,,,,,,,
1946,8.68,10.63,8.75,9.95,1.95,,,,,,,
1947,8.8,9.91,8.76,9.92,1.11,,,,,,,
1948,8.75,9.83,8.74,9.87,1.08,,,,,,,
1949,8.59,11.39,8.73,10.00,2.80,,,,,,,
1950,8.37,9.72,8.69,10.12,1.35,,,,,,,
1951,8.63,10.27,8.67,10.12,1.64,,,,,,,
1952,8.64,10.52,8.67,10.18,1.88,,,,,,,
1953,8.87,11.17,8.68,10.34,2.30,,,,,,,
1954,8.56,10.31,8.65,10.37,1.75,,,,,,,
1955,8.63,10.39,8.65,10.41,1.76,,,,,,,
1956,8.28,9.75,8.61,10.33,1.47,,,,,,,
1957,8.73,10.5,8.61,10.39,1.77,,,,,,,
1958,8.77,9.16,8.61,10.32,0.39,,,,,,,
1959,8.73,10.77,8.62,10.26,2.04,,,,,,,
1960,8.58,9.76,8.64,10.26,1.18,,,,,,,
1961,8.8,10.03,8.66,10.24,1.23,,,,,,,
1962,8.75,9.32,8.67,10.12,0.57,,,,,,,
1963,8.86,9.32,8.67,9.93,0.46,,,,,,,
1964,8.41,9.96,8.65,9.90,1.55,,,,,,,
1965,8.53,9.63,8.64,9.82,1.10,,,,,,,
1966,8.6,9.75,8.68,9.82,1.15,,,,,,,
1967,8.7,9.3,8.67,9.70,0.60,,,,,,,
1968,8.52,9.75,8.65,9.76,1.23,,,,,,,
1969,8.6,9.76,8.64,9.66,1.16,,,,,,,
1970,8.7,9.77,8.65,9.66,1.07,,,,,,,
1971,8.6,10.01,8.63,9.66,1.41,,,,,,,
1972,8.5,9.49,8.60,9.67,0.99,,,,,,,
1973,8.95,10.96,8.61,9.84,2.01,,,,,,,
1974,8.47,10.08,8.62,9.85,1.61,,,,,,,
1975,8.74,10.56,8.64,9.94,1.82,,,,,,,
1976,8.35,9.53,8.61,9.92,1.18,,,,,,,
1977,8.85,9.96,8.63,9.99,1.11,,,,,,,
1978,8.69,9.17,8.65,9.93,0.48,,,,,,,
1979,8.73,10.02,8.66,9.96,1.29,,,,,,,
1980,8.98,9.86,8.69,9.96,0.88,,,,,,,
1981,9.17,9.95,8.74,9.96,0.78,,,,,,,
1982,8.64,9.78,8.76,9.99,1.14,,,,,,,
1983,9.03,10.51,8.77,9.94,1.48,,,,,,,
1984,8.69,10.26,8.79,9.96,1.57,,,,,,,
1985,8.66,10.26,8.78,9.93,1.60,,,,,,,
1986,8.83,10.15,8.83,9.99,1.32,,,,,,,
1987,8.99,10.32,8.84,10.03,1.33,,,,,,,
1988,9.2,9.93,8.89,10.10,0.73,,,,,,,
1989,8.92,9.66,8.91,10.07,0.74,,,,,,,
1990,9.23,11.32,8.94,10.21,2.09,,,,,,,
1991,9.18,11.36,8.94,10.36,2.18,,,,,,,
1992,8.84,9.57,8.96,10.33,0.73,,,,,,,
1993,8.87,10.04,8.94,10.29,1.17,,,,,,,
1994,9.04,10,8.98,10.26,0.96,,,,,,,
1995,9.35,10.24,9.05,10.26,0.89,,,,,,,
1996,9.04,9.81,9.07,10.23,0.77,,,,,,,
1997,9.2,10,9.09,10.19,0.80,,,,,,,
1998,9.52,11.82,9.12,10.38,2.30,,,,,,,
1999,9.29,11.16,9.16,10.53,1.87,,,,,,,
2000,9.2,9.97,9.15,10.40,0.77,,,,,,,
2001,9.41,10.93,9.18,10.35,1.52,,,,,,,
2002,9.57,11.25,9.25,10.52,1.68,,,,,,,
2003,9.53,9.84,9.32,10.50,0.31,,,,,,,
2004,9.32,10.39,9.34,10.54,1.07,,,,,,,
2005,9.7,10.68,9.38,10.59,0.98,,,,,,,
2006,9.53,11.52,9.43,10.76,1.99,,,,,,,
2007,9.73,10.63,9.48,10.82,0.90,,,,,,,
2008,9.43,10.64,9.47,10.70,1.21,,,,,,,
2009,9.51,10.14,9.49,10.60,0.63,,,,,,,
2010,9.7,11.36,9.54,10.74,1.66,,,,,,,
2011,9.52,11.27,9.55,10.77,1.75,,,,,,,
2012,9.51,11.97,9.55,10.84,2.46,,,,,,,
2013,9.61,12.16,9.56,11.08,2.55,1.32,,,,,,
